,Nature & Environment_Score_1,Nature & Environment_Score_2,Nature & Environment,Culture & Heritage_Score_1,Culture & Heritage_Score_2,Culture & Heritage,Adventure & Activities_Score_1,Adventure & Activities_Score_2,Adventure & Activities,Local Cuisine & Dining_Score_1,Local Cuisine & Dining_Score_2,Local Cuisine & Dining,Affordability & Value_Score_1,Affordability & Value_Score_2,Affordability & Value
Corpus_states_Arunachal_Pradesh_corpus.pkl,0.0021277130818537016,0.2820486917870492,2792.0,0.00632826985376545,0.15280154568037538,8304.0,0.0025986753614330666,0.255488124672211,3410.0,0.0014060281647636386,0.08732901027121692,1845.0,0.0007354022650389764,0.14638956310679613,965.0
Corpus_states_Assam_corpus.pkl,0.0010087658271879783,0.002929588847358319,29.0,0.026610546820648392,0.014076731990063483,765.0,0.00013914011409489355,0.0002996928148647636,4.0,0.0028871573674690413,0.003928622142282388,83.0,0.011165994156115208,0.04869538834951456,321.0
Corpus_states_Goa_corpus.pkl,0.0016781059291338992,0.09758561470855642,966.0,0.00739686857790077,0.07835127426626184,4258.0,0.002379922487488035,0.10264478909118153,1370.0,0.0007243997644397888,0.019737776305201873,417.0,0.00024320375784549265,0.021237864077669904,140.0
Corpus_states_Jammu_and_Kashmir_corpus.pkl,0.00011844378797168496,0.03606424891403172,357.0,0.0008244616613715326,0.04572637777164412,2485.0,0.0001682100854387795,0.037986064284108785,507.0,0.00021399507910850645,0.0305296539972547,645.0,7.033636708682693e-05,0.03216019417475728,212.0
Corpus_states_Karnataka_corpus.pkl,0.0015423910030491427,0.15738963531669867,1558.0,0.031924919811507545,0.5933940564909376,32248.0,0.005508256444778838,0.4168727054768862,5564.0,0.016625747435948204,0.7949069910541013,16794.0,0.0046687522274581235,0.7154126213592233,4716.0
Corpus_states_Kerala_corpus.pkl,0.008547008547008548,0.0072734619658551365,72.0,0.02564102564102564,0.003974606679547336,216.0,0.007597340930674264,0.004795085037836218,64.0,0.005698005698005698,0.002271974250958489,48.0,0.0,0.0,0.0
Corpus_states_Maharashtra_corpus.pkl,0.006396588486140725,0.4167087584604505,4125.0,0.00941112618724559,0.1116754071211703,6069.0,0.003765070750145377,0.1819135386229115,2428.0,0.0020081411126187244,0.06129597197898424,1295.0,0.00036906377204884666,0.03610436893203883,238.0
