,Nature & Environment_Score_1,Nature & Environment_Score_2,Nature & Environment,Culture & Heritage_Score_1,Culture & Heritage_Score_2,Culture & Heritage,Adventure & Activities_Score_1,Adventure & Activities_Score_2,Adventure & Activities,Local Cuisine & Dining_Score_1,Local Cuisine & Dining_Score_2,Local Cuisine & Dining,Affordability & Value_Score_1,Affordability & Value_Score_2,Affordability & Value
Corpus_states_Arunachal_Pradesh_corpus.pkl,0.21277130818537016,28.20486917870492,2792.0,0.632826985376545,15.280154568037538,8304.0,0.25986753614330665,25.5488124672211,3410.0,0.14060281647636386,8.732901027121692,1845.0,0.07354022650389763,14.638956310679612,965.0
Corpus_states_Assam_corpus.pkl,0.10087658271879783,0.29295888473583187,29.0,2.6610546820648393,1.4076731990063482,765.0,0.013914011409489356,0.02996928148647636,4.0,0.28871573674690415,0.3928622142282388,83.0,1.1165994156115209,4.869538834951456,321.0
Corpus_states_Goa_corpus.pkl,0.16781059291338993,9.758561470855643,966.0,0.739686857790077,7.835127426626184,4258.0,0.2379922487488035,10.264478909118154,1370.0,0.07243997644397888,1.9737776305201873,417.0,0.024320375784549264,2.1237864077669903,140.0
Corpus_states_Jammu_and_Kashmir_corpus.pkl,0.011844378797168497,3.606424891403172,357.0,0.08244616613715326,4.572637777164412,2485.0,0.016821008543877948,3.7986064284108787,507.0,0.021399507910850643,3.05296539972547,645.0,0.0070336367086826935,3.216019417475728,212.0
Corpus_states_Karnataka_corpus.pkl,0.15423910030491428,15.738963531669867,1558.0,3.1924919811507544,59.339405649093756,32248.0,0.5508256444778838,41.68727054768862,5564.0,1.6625747435948204,79.49069910541013,16794.0,0.46687522274581233,71.54126213592234,4716.0
Corpus_states_Kerala_corpus.pkl,0.8547008547008548,0.7273461965855137,72.0,2.564102564102564,0.3974606679547336,216.0,0.7597340930674265,0.47950850378362175,64.0,0.5698005698005698,0.22719742509584892,48.0,0.0,0.0,0.0
Corpus_states_Maharashtra_corpus.pkl,0.6396588486140725,41.67087584604505,4125.0,0.941112618724559,11.167540712117031,6069.0,0.3765070750145377,18.19135386229115,2428.0,0.20081411126187243,6.129597197898424,1295.0,0.03690637720488467,3.6104368932038833,238.0
